" Spectrum" ," Sample" ," User" ," Live time" ," Real time" ," Excitation" ," Throughput" ," Mg-Ka Chi2" ," Mg-Ka Area" ," Mg-Ka AreaStd" ," Mg-Ka cps" ," Mg-Ka cpsStd" ," Al-Ka Chi2" ," Al-Ka Area" ," Al-Ka AreaStd" ," Al-Ka cps" ," Al-Ka cpsStd" ," Si-Ka Chi2" ," Si-Ka Area" ," Si-Ka AreaStd" ," Si-Ka cps" ," Si-Ka cpsStd" ," P -Ka Chi2" ," P -Ka Area" ," P -Ka AreaStd" ," P -Ka cps" ," P -Ka cpsStd" ," S -Ka Chi2" ," S -Ka Area" ," S -Ka AreaStd" ," S -Ka cps" ," S -Ka cpsStd" ," Cl-Ka Chi2" ," Cl-Ka Area" ," Cl-Ka AreaStd" ," Cl-Ka cps" ," Cl-Ka cpsStd" ," Ar-Ka Chi2" ," Ar-Ka Area" ," Ar-Ka AreaStd" ," Ar-Ka cps" ," Ar-Ka cpsStd" ," K -Ka Chi2" ," K -Ka Area" ," K -Ka AreaStd" ," K -Ka cps" ," K -Ka cpsStd" ," Ca-Ka Chi2" ," Ca-Ka Area" ," Ca-Ka AreaStd" ," Ca-Ka cps" ," Ca-Ka cpsStd" ," Ti-Ka Chi2" ," Ti-Ka Area" ," Ti-Ka AreaStd" ," Ti-Ka cps" ," Ti-Ka cpsStd" ," V -Ka Chi2" ," V -Ka Area" ," V -Ka AreaStd" ," V -Ka cps" ," V -Ka cpsStd" ," Cr-Ka Chi2" ," Cr-Ka Area" ," Cr-Ka AreaStd" ," Cr-Ka cps" ," Cr-Ka cpsStd" ," Mn-Ka Chi2" ," Mn-Ka Area" ," Mn-Ka AreaStd" ," Mn-Ka cps" ," Mn-Ka cpsStd" ," Fe-Ka Chi2" ," Fe-Ka Area" ," Fe-Ka AreaStd" ," Fe-Ka cps" ," Fe-Ka cpsStd" ," Co-Ka Chi2" ," Co-Ka Area" ," Co-Ka AreaStd" ," Co-Ka cps" ," Co-Ka cpsStd" ," Ni-Ka Chi2" ," Ni-Ka Area" ," Ni-Ka AreaStd" ," Ni-Ka cps" ," Ni-Ka cpsStd" ," Cu-Ka Chi2" ," Cu-Ka Area" ," Cu-Ka AreaStd" ," Cu-Ka cps" ," Cu-Ka cpsStd" ," Rh-La-Inc Chi2" ," Rh-La-Inc Area" ," Rh-La-Inc AreaStd" ," Rh-La-Inc cps" ," Rh-La-Inc cpsStd" ," Rh-La-Coh Chi2" ," Rh-La-Coh Area" ," Rh-La-Coh AreaStd" ," Rh-La-Coh cps" ," Rh-La-Coh cpsStd" ," Ba-La Chi2" ," Ba-La Area" ," Ba-La AreaStd" ," Ba-La cps" ," Ba-La cpsStd" 
MI18-L8-B!0!0! 466.0!2019-04-17!11-51-29!15!10!1500!466.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe, 466.0,466.0,15,19,XRay Tube Generator,1.12E+05,0.9,413,39,27.5,2.6,1.2,10230,110,682.0,7.3,11.2,123897,352,8259.77,23.48,0.5,734,59,49.0,3.9,6.9,3983,109,265.5,7.3,4.7,5060,212,337.31,14.15,3.0,-618,192,-41.20,12.81,13.5,69457,303,4630.47,20.23,3.2,31701,243,2113.43,16.18,1.0,26826,258,1788.38,17.20,0.9,1177,218,78.49,14.54,0.5,1307,222,87.11,14.80,0.7,4419,242,294.58,16.14,4.2,371785,645,24785.64,43.01,21.5,6363,265,424.18,17.69,0.3,860,225,57.34,15.00,1.4,648,215,43.19,14.34,4.5,-34,50,-2.3,3.3,5.8,119411,373,7960.70,24.87,1.6,1847,170,123.13,11.36
MI18-L8-B!0!0! 468.0!2019-04-17!11-51-59!15!10!1500!468.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe, 468.0,468.0,15,19,XRay Tube Generator,1.12E+05,1.5,374,38,24.9,2.5,1.5,9608,107,640.5,7.1,12.7,121723,350,8114.86,23.30,0.5,552,59,36.8,3.9,7.2,4539,113,302.6,7.5,5.7,4928,251,328.54,16.74,2.0,-926,316,-61.71,21.04,13.6,61785,293,4118.99,19.51,1.0,30477,242,2031.79,16.14,0.6,24121,330,1608.07,22.01,0.4,996,236,66.37,15.75,0.4,1019,229,67.96,15.24,0.2,5672,248,378.12,16.56,4.1,368555,662,24570.34,44.11,17.1,5932,272,395.46,18.10,0.4,618,230,41.22,15.30,1.1,872,232,58.14,15.45,0.0,-835,1,-55.697,0.037,5.8,120268,425,8017.86,28.31,1.5,1726,234,115.05,15.57
MI18-L8-B!0!0! 470.0!2019-04-17!11-52-29!15!10!1500!470.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe, 470.0,470.0,15,19,XRay Tube Generator,1.18E+05,0.3,442,40,29.5,2.6,0.9,10689,113,712.6,7.5,7.3,118336,402,7889.06,26.79,4.3,554,65,36.9,4.3,10.3,3979,110,265.2,7.3,4.7,5427,248,361.78,16.53,3.3,-871,273,-58.05,18.23,10.6,72876,311,4858.43,20.74,2.1,34587,251,2305.81,16.74,0.8,30528,323,2035.21,21.53,0.5,1084,233,72.25,15.56,0.2,1730,227,115.33,15.14,0.5,4776,245,318.41,16.34,5.1,433521,699,28901.42,46.63,28.4,6678,271,445.18,18.04,0.7,1129,224,75.27,14.94,1.3,932,224,62.11,14.93,4.7,2210,166,147.36,11.07,8.2,122597,418,8173.13,27.88,1.2,1749,220,116.62,14.66
MI18-L8-B!0!0! 472.0!2019-04-17!11-52-59!15!10!1500!472.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe, 472.0,472.0,15,19,XRay Tube Generator,1.19E+05,0.8,380,41,25.4,2.8,6.2,10781,115,718.7,7.7,9.0,124069,354,8271.30,23.59,1.8,445,62,29.7,4.1,9.7,3623,108,241.5,7.2,6.4,5653,216,376.85,14.39,3.4,-1423,194,-94.89,12.91,16.3,78269,319,5217.92,21.26,3.0,38376,258,2558.43,17.17,1.2,34085,273,2272.31,18.19,0.4,1844,222,122.94,14.78,0.5,1490,222,99.35,14.78,0.5,5552,244,370.10,16.27,4.4,431853,686,28790.20,45.76,27.4,6741,268,449.43,17.85,0.7,391,222,26.05,14.77,2.1,1024,214,68.24,14.23,6.4,-162,168,-10.77,11.20,8.8,125656,381,8377.09,25.43,2.5,1945,175,129.69,11.66
MI18-L8-B!0!0! 474.0!2019-04-17!11-53-29!15!10!1500!474.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe, 474.0,474.0,15,19,XRay Tube Generator,1.10E+05,0.3,341,38,22.8,2.5,0.9,8880,104,592.0,6.9,11.2,118822,345,7921.48,23.02,0.6,674,59,44.9,3.9,6.6,4053,110,270.2,7.3,4.4,4932,252,328.80,16.79,1.4,-629,318,-41.92,21.18,14.0,63927,296,4261.78,19.72,2.1,31851,244,2123.40,16.28,0.3,26391,335,1759.42,22.30,0.3,1106,236,73.75,15.72,0.4,1437,228,95.80,15.18,0.6,4096,243,273.10,16.21,3.5,357103,652,23806.89,43.48,17.7,5899,269,393.27,17.92,0.4,577,227,38.46,15.14,1.3,1071,228,71.40,15.23,0.0,-2665,1,-177.639,0.037,6.3,121848,427,8123.19,28.46,0.7,2121,234,141.38,15.62
MI18-L8-B!0!0! 476.0!2019-04-17!11-53-59!15!10!1500!476.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe, 476.0,476.0,15,19,XRay Tube Generator,1.04E+05,0.8,302,37,20.1,2.5,1.5,6860,93,457.3,6.2,10.4,104671,325,6978.06,21.65,0.8,763,61,50.9,4.1,5.2,2907,284,193.82,18.95,2.7,4843,261,322.85,17.43,1.3,386,322,25.71,21.44,11.8,46115,264,3074.34,17.59,0.9,27371,234,1824.73,15.63,0.9,18935,321,1262.37,21.41,0.4,1098,235,73.19,15.65,0.7,1420,231,94.66,15.41,0.4,3423,244,228.19,16.25,3.7,304335,615,20289.00,41.03,17.0,6033,270,402.18,18.00,0.5,987,232,65.82,15.48,1.0,1273,232,84.87,15.46,3.7,1193,238,79.56,15.90,4.1,121394,428,8092.93,28.56,1.1,1688,232,112.52,15.50
MI18-L8-B!0!0! 478.0!2019-04-17!11-54-28!15!10!1500!478.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe, 478.0,478.0,15,19,XRay Tube Generator,1.10E+05,0.2,365,36,24.3,2.4,2.0,7842,97,522.8,6.5,9.3,108936,331,7262.42,22.07,1.4,747,61,49.8,4.0,10.4,4328,112,288.5,7.4,3.7,4731,256,315.41,17.04,1.8,-238,322,-15.90,21.47,12.1,53098,278,3539.87,18.54,0.8,27132,234,1808.80,15.57,1.3,22279,327,1485.29,21.81,0.9,1448,237,96.53,15.79,0.4,1581,229,105.38,15.29,0.3,4839,247,322.60,16.47,5.7,368476,662,24565.06,44.11,20.9,6611,273,440.72,18.17,0.4,877,229,58.47,15.24,1.4,998,229,66.56,15.26,0.0,-3736,1,-249.062,0.037,5.3,123570,431,8237.99,28.74,1.5,1823,233,121.52,15.55
MI18-L8-B!0!0! 480.0!2019-04-17!11-54-58!15!10!1500!480.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe, 480.0,480.0,15,19,XRay Tube Generator,1.14E+05,0.6,361,38,24.1,2.5,0.3,7784,98,518.9,6.5,11.9,103159,323,6877.29,21.51,0.9,1019,64,68.0,4.3,14.7,4016,111,267.7,7.4,2.6,4437,255,295.83,17.01,2.5,-694,322,-46.26,21.47,11.2,57961,288,3864.09,19.21,1.2,29056,240,1937.04,16.01,0.6,24599,333,1639.96,22.17,0.4,1576,239,105.07,15.92,0.5,1414,229,94.28,15.30,0.5,4774,248,318.26,16.51,4.9,408372,690,27224.79,45.97,22.2,6419,274,427.93,18.28,0.8,714,228,47.59,15.19,2.0,1027,228,68.47,15.17,0.0,-4138,1,-275.885,0.037,4.8,123688,431,8245.83,28.76,0.9,1670,235,111.31,15.68
MI18-L8-B!0!0! 482.0!2019-04-17!11-55-28!15!10!1500!482.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe, 482.0,482.0,15,19,XRay Tube Generator,1.17E+05,0.9,381,37,25.4,2.5,2.4,6981,93,465.4,6.2,9.1,90886,304,6059.06,20.24,0.7,1533,68,102.2,4.6,11.4,3522,110,234.8,7.3,3.0,4926,262,328.42,17.47,1.3,-448,326,-29.85,21.71,12.7,55045,282,3669.64,18.80,0.8,27807,238,1853.81,15.85,0.8,24249,333,1616.57,22.23,1.1,1249,239,83.29,15.95,0.7,1544,230,102.90,15.35,0.8,5197,251,346.45,16.71,5.2,460387,724,30692.48,48.27,28.2,7752,279,516.78,18.61,0.4,910,228,60.64,15.17,1.2,878,225,58.56,15.03,0.0,-4148,1,-276.524,0.037,4.7,125841,437,8389.37,29.12,0.9,1751,236,116.71,15.75
MI18-L8-B!0!0! 484.0!2019-04-17!11-55-58!15!10!1500!484.0!0.0!No-Filter!2.0!6.0!Run1!Rep0!Sett Low.spe, 484.0,484.0,15,19,XRay Tube Generator,1.17E+05,0.7,370,39,24.7,2.6,3.1,7529,98,501.9,6.5,5.1,96582,366,6438.77,24.38,3.2,1094,71,72.9,4.7,9.9,3890,111,259.3,7.4,4.7,5092,267,339.46,17.79,2.9,-382,323,-25.48,21.55,15.1,58485,288,3899.03,19.17,1.9,29601,242,1973.41,16.10,0.7,26314,337,1754.23,22.45,0.6,676,239,45.09,15.91,1.0,1294,231,86.27,15.40,0.6,4856,249,323.70,16.63,4.4,442465,713,29497.65,47.51,24.6,7526,279,501.71,18.59,0.3,465,228,31.00,15.21,1.4,1145,227,76.33,15.11,4.9,1150,145,76.7,9.7,6.2,128306,442,8553.74,29.48,1.8,1968,237,131.23,15.80
